,0 - 10,10 - 20,20 - 30,30 - 40,40 - 50,50 - 60,60 - 70,70 - 80,80 - 90,90 - 100,100 - 110,110 - 120,120 - 130,130 - 140,140 - 150,150 - 200,200 - 250,250 - 315,315 - 395
0 - 10,1.0,0.16975910199766336,0.06509834156087009,0.027587600570331234,0.020182274324825892,0.026443449508694497,0.011861790880902964,0.03503987587205482,-0.0012767562040144893,0.043803718237185874,0.023055081545782497,0.019039550776991564,-0.047046119845936214,-0.05498863058681322,0.019172913187101535,0.015241958928197987,0.03239951685627421,0.04165636781680774,0.03282707070220275
10 - 20,0.16975910199766336,1.0,0.2751409171741047,0.11545602461999281,0.035491115348865045,0.06818382605568955,0.05985942069696831,0.028274101180829493,0.0288452492072515,0.053135933510369146,0.030816905303951956,-0.026724824825965297,0.005070065023370092,-0.0023756434535769015,0.03645856009400529,-0.002999802998862109,-0.02460501379828145,-0.03257590505965205,-0.04604517538084189
20 - 30,0.06509834156087009,0.2751409171741047,1.0,0.3573710118172851,0.19290601528907186,0.13953661238739504,0.11179948047228715,0.10839512069383446,0.06874344900260268,0.04137025889416514,0.03253969360571353,0.0025602149336868022,0.01768720758823899,0.0029870212781317827,0.02535822479335342,0.0421345462850142,-0.02341405283335055,-0.00021221557665035485,-0.03844572308349702
30 - 40,0.027587600570331234,0.11545602461999281,0.3573710118172851,1.0,0.40389220755706784,0.24109969126141154,0.09284650326452809,0.10675271036973541,0.07984530133745106,0.08054571700895542,0.0738173821224639,0.0664776770997314,0.057726982208329954,0.03170177370129856,0.012251014516254422,0.04314148824712517,0.00412598184349291,0.045873818898961576,0.017742444517752618
40 - 50,0.020182274324825892,0.035491115348865045,0.19290601528907186,0.40389220755706784,1.0,0.4206259198772341,0.2329463360816316,0.2245539734593659,0.12161185971419324,0.11833487757632212,0.07307347194332388,0.03660078692397624,0.051300907155307995,0.04433601102841216,0.0008639976393038511,0.051251705952740104,0.016271690608131693,0.03878227753695362,0.01653034014648038
50 - 60,0.026443449508694497,0.06818382605568955,0.13953661238739504,0.24109969126141154,0.4206259198772341,1.0,0.4384886178991872,0.33383649726867354,0.2418017262685234,0.15507242215334227,0.1052176267132697,0.08149462127036776,0.07027179329399312,0.06185272245659745,0.054133017569789194,0.05837265287923111,0.04526468885373578,0.0008777599631835031,0.004174677966318802
60 - 70,0.011861790880902964,0.05985942069696831,0.11179948047228715,0.09284650326452809,0.2329463360816316,0.4384886178991872,1.0,0.5442329275519796,0.33193872356084114,0.22883217552780719,0.17570209649389743,0.13558856507456885,0.12350619373410357,0.11042764441437905,0.08420766530769497,0.039571726384188856,0.023417302741712245,0.015269562832507052,0.019665421320105615
70 - 80,0.03503987587205482,0.028274101180829493,0.10839512069383446,0.10675271036973541,0.2245539734593659,0.33383649726867354,0.5442329275519796,1.0,0.5023258850319363,0.3643597361405476,0.24203741484274144,0.19398381042940485,0.17468388744363417,0.12102610061194104,0.11177440414069302,0.09518231750733104,0.07755679035158335,0.06004050268240854,0.034279450135994434
80 - 90,-0.0012767562040144893,0.0288452492072515,0.06874344900260268,0.07984530133745106,0.12161185971419324,0.2418017262685234,0.33193872356084114,0.5023258850319363,1.0,0.49341552213613177,0.35858351409018807,0.24290241206445687,0.1931909131911988,0.15055220850936776,0.15702383408350876,0.08048673067861555,0.07533474034006858,0.06139820644090883,0.048231829625751156
90 - 100,0.043803718237185874,0.053135933510369146,0.04137025889416514,0.08054571700895542,0.11833487757632212,0.15507242215334227,0.22883217552780719,0.3643597361405476,0.49341552213613177,1.0,0.5352901025191481,0.36011741344899534,0.2779822940112043,0.16724538541754674,0.18162400316568617,0.10587635492647222,0.05633262409611651,0.023319119732598995,0.02450447006148923
