,errobars,ksz_curve,rsep
0,0.1109377278423481,-0.19078442392572798,5.0
1,0.07706478185963533,-0.1554497425043131,15.0
2,0.06026615894430544,0.021801430304585527,25.0
3,0.044990501724946536,-0.051177670591858127,35.0
4,0.03726573537430623,-0.059007351601506365,45.0
5,0.03330323910610737,-0.025476267987775747,55.0
6,0.028607640358584686,-0.06975249774673424,65.0
7,0.025279034321393095,-0.0979855639896195,75.0
8,0.023349939243228302,-0.03851011681097053,85.0
9,0.020664087527333903,-0.03431462072665608,95.0
10,0.019024123957094775,-0.03190319462020279,105.0
11,0.017576047430340445,-0.003992200679396546,115.0
12,0.016429232754022367,-0.024961296707844232,125.0
13,0.01580130437241728,-0.0379606971903463,135.0
14,0.015043051998840803,-0.01870049018776717,145.0
15,0.009036096156250758,-0.022078444622536778,175.0
16,0.008033927588402054,-0.0006625849636086173,225.0
17,0.007351682562934878,0.007369894041317235,282.5
18,0.007416495536063362,-0.0024154854656072127,355.0
