,0 - 10,10 - 20,20 - 30,30 - 40,40 - 50,50 - 60,60 - 70,70 - 80,80 - 90,90 - 100,100 - 110,110 - 120,120 - 130,130 - 140,140 - 150,150 - 200,200 - 250,250 - 315,315 - 395
0 - 10,0.0072632329520001745,0.0004898086531945053,0.0002115151361807586,0.00026551423622821684,8.186945116900619e-05,0.00010922022984802724,4.972554664258742e-05,0.00010824260755922951,3.06223702238512e-05,-8.584273762458123e-06,3.858749134344453e-05,3.737535755579208e-05,4.6028526543360224e-05,4.800148306897149e-05,7.13916508572666e-06,4.923459167442173e-06,-1.376142064163548e-05,1.1966965998960446e-06,3.1883938816708602e-06
10 - 20,0.0004898086531945053,0.003731459678199315,0.0004999145486577993,0.0002332841488354293,0.0001235139969848435,4.559978794144033e-05,4.072213210496401e-05,7.793742055366199e-05,3.4825970697543734e-05,1.9678257262712327e-05,7.4017237016016705e-06,-2.2161823844488988e-06,-2.6461212886100783e-05,-2.4389281037377e-05,5.221383184308745e-06,2.986719586002909e-07,7.078458499702292e-06,1.9044451267728434e-06,1.6349833319318984e-05
20 - 30,0.0002115151361807586,0.0004999145486577993,0.0020347740493546415,0.000540082545684777,0.00019600513475617404,0.00012797524774413804,9.909082394641166e-05,1.7567557960773148e-05,3.731287048037379e-05,2.038877481264303e-05,3.2523533788579402e-06,3.861428607987535e-06,-3.4191710946417683e-06,2.926137022244846e-05,2.2045899386023054e-05,7.8239003034104e-06,1.0228234974372675e-05,-1.0660010044214949e-05,1.4882373351205053e-06
30 - 40,0.00026551423622821684,0.0002332841488354293,0.000540082545684777,0.0013909091289528214,0.00034150711183803835,0.00023505436976152335,0.00012609158743775195,9.084060198607773e-05,5.691307726836764e-05,4.9702557650685665e-05,5.660064405695566e-06,1.9243917175202802e-05,2.3579924788554565e-05,7.3798940236039526e-06,-4.491175793112003e-06,7.321987718084464e-06,-6.635572025849171e-06,1.5169024656129393e-06,2.389425403915598e-06
40 - 50,8.186945116900619e-05,0.0001235139969848435,0.00019600513475617404,0.00034150711183803835,0.0009497787936208272,0.00033397638961713623,0.00015944020222003925,9.97676030514218e-05,5.057369823795848e-05,2.1930590573940095e-05,3.566477831775657e-06,1.5143492809548568e-05,1.700563415695156e-05,3.8080199980875495e-06,-9.814912342102409e-06,2.9784290781606165e-06,1.1258493471738915e-06,-2.050642973712814e-06,1.2845751701258419e-06
50 - 60,0.00010922022984802724,4.559978794144033e-05,0.00012797524774413804,0.00023505436976152335,0.00033397638961713623,0.0007966184948795007,0.0003028630631640265,0.00019294006233822877,0.00012460710529554043,4.4611710308063544e-05,4.513466902073716e-05,2.3178926316859295e-05,1.3197327047315364e-05,3.54023855329091e-05,1.9674392766278833e-05,1.824707111420799e-05,9.093607593716704e-06,1.0087664189734767e-05,1.4476757399259033e-05
60 - 70,4.972554664258742e-05,4.072213210496401e-05,9.909082394641166e-05,0.00012609158743775195,0.00015944020222003925,0.0003028630631640265,0.0005906231347930479,0.0002440999189444128,0.00014530973844500823,8.078734325058102e-05,6.570033657184252e-05,3.928097445466124e-05,2.2198393077931376e-05,2.247574408490932e-05,1.56907399845952e-05,1.3803969459606036e-05,5.960222334194796e-06,2.855639661861103e-06,4.404091663559824e-06
70 - 80,0.00010824260755922951,7.793742055366199e-05,1.7567557960773148e-05,9.084060198607773e-05,9.97676030514218e-05,0.00019294006233822877,0.0002440999189444128,0.00045716247075175913,0.00017128168282123794,9.137293495847767e-05,8.200403970037788e-05,5.526633497651934e-05,4.0951871916576796e-05,3.113842318576641e-05,2.7030763711990716e-05,1.7059731361385753e-05,1.2853437255113689e-05,1.0223173443925546e-05,4.9383992648410985e-06
80 - 90,3.06223702238512e-05,3.4825970697543734e-05,3.731287048037379e-05,5.691307726836764e-05,5.057369823795848e-05,0.00012460710529554043,0.00014530973844500823,0.00017128168282123794,0.00033871089866268364,0.00013695570758587693,8.300884254541358e-05,5.608226783053016e-05,3.459815722041217e-05,2.070775511574046e-05,1.3119745716973246e-05,1.5106077297048217e-05,8.559113677291229e-06,7.908995508295649e-06,7.436945090791415e-06
90 - 100,-8.584273762458123e-06,1.9678257262712327e-05,2.038877481264303e-05,4.9702557650685665e-05,2.1930590573940095e-05,4.4611710308063544e-05,8.078734325058102e-05,9.137293495847767e-05,0.00013695570758587693,0.0002931946156238103,0.000122842318229908,7.924062451585757e-05,5.3057945024951275e-05,4.148318916721303e-05,2.501966347687537e-05,1.4099732052460981e-05,5.857584268094956e-06,1.1034348843194702e-05,5.558977024897239e-06
100 - 110,3.858749134344453e-05,7.4017237016016705e-06,3.2523533788579402e-06,5.660064405695566e-06,3.566477831775657e-06,4.513466902073716e-05,6.570033657184252e-05,8.200403970037788e-05,8.300884254541358e-05,0.000122842318229908,0.00024776816941969495,0.00010942241939720782,7.670745111841035e-05,5.560063496706756e-05,3.355705351875439e-05,2.1784406652800192e-05,1.197844216125387e-05,1.2191117201963592e-05,7.282381025263401e-06
110 - 120,3.737535755579208e-05,-2.2161823844488988e-06,3.861428607987535e-06,1.9243917175202802e-05,1.5143492809548568e-05,2.3178926316859295e-05,3.928097445466124e-05,5.526633497651934e-05,5.608226783053016e-05,7.924062451585757e-05,0.00010942241939720782,0.0002193986734598465,0.00010336794147408936,6.924472845572611e-05,4.59243219316581e-05,3.149096309397376e-05,2.1310017835230577e-05,2.1854810281521934e-05,1.8421742423179475e-05
120 - 130,4.6028526543360224e-05,-2.6461212886100783e-05,-3.4191710946417683e-06,2.3579924788554565e-05,1.700563415695156e-05,1.3197327047315364e-05,2.2198393077931376e-05,4.0951871916576796e-05,3.459815722041217e-05,5.3057945024951275e-05,7.670745111841035e-05,0.00010336794147408936,0.00020454463323893573,9.180141768111934e-05,5.9851578628061264e-05,3.300160653792739e-05,1.876357701779804e-05,2.112120786861159e-05,1.5719559055261536e-05
130 - 140,4.800148306897149e-05,-2.4389281037377e-05,2.926137022244846e-05,7.3798940236039526e-06,3.8080199980875495e-06,3.54023855329091e-05,2.247574408490932e-05,3.113842318576641e-05,2.070775511574046e-05,4.148318916721303e-05,5.560063496706756e-05,6.924472845572611e-05,9.180141768111934e-05,0.00017608709573229065,8.377972079498246e-05,4.186402235756835e-05,2.3748171205586224e-05,2.4053566354470532e-05,2.1100248385628225e-05
140 - 150,7.13916508572666e-06,5.221383184308745e-06,2.2045899386023054e-05,-4.491175793112003e-06,-9.814912342102409e-06,1.9674392766278833e-05,1.56907399845952e-05,2.7030763711990716e-05,1.3119745716973246e-05,2.501966347687537e-05,3.355705351875439e-05,4.59243219316581e-05,5.9851578628061264e-05,8.377972079498246e-05,0.0001567971709814949,4.740379403610243e-05,2.291005757800137e-05,1.9940014195904904e-05,1.7778358246323765e-05
150 - 200,4.923459167442173e-06,2.986719586002909e-07,7.8239003034104e-06,7.321987718084464e-06,2.9784290781606165e-06,1.824707111420799e-05,1.3803969459606036e-05,1.7059731361385753e-05,1.5106077297048217e-05,1.4099732052460981e-05,2.1784406652800192e-05,3.149096309397376e-05,3.300160653792739e-05,4.186402235756835e-05,4.740379403610243e-05,7.232862618329168e-05,4.049080526858839e-05,2.9297215679725498e-05,2.7856265722383064e-05
200 - 250,-1.376142064163548e-05,7.078458499702292e-06,1.0228234974372675e-05,-6.635572025849171e-06,1.1258493471738915e-06,9.093607593716704e-06,5.960222334194796e-06,1.2853437255113689e-05,8.559113677291229e-06,5.857584268094956e-06,1.197844216125387e-05,2.1310017835230577e-05,1.876357701779804e-05,2.3748171205586224e-05,2.291005757800137e-05,4.049080526858839e-05,6.614777940353537e-05,4.3733345386008045e-05,3.845487112403098e-05
250 - 315,1.1966965998960446e-06,1.9044451267728434e-06,-1.0660010044214949e-05,1.5169024656129393e-06,-2.050642973712814e-06,1.0087664189734767e-05,2.855639661861103e-06,1.0223173443925546e-05,7.908995508295649e-06,1.1034348843194702e-05,1.2191117201963592e-05,2.1854810281521934e-05,2.112120786861159e-05,2.4053566354470532e-05,1.9940014195904904e-05,2.9297215679725498e-05,4.3733345386008045e-05,6.482751830931061e-05,4.909985371147383e-05
315 - 395,3.1883938816708602e-06,1.6349833319318984e-05,1.4882373351205053e-06,2.389425403915598e-06,1.2845751701258419e-06,1.4476757399259033e-05,4.404091663559824e-06,4.9383992648410985e-06,7.436945090791415e-06,5.558977024897239e-06,7.282381025263401e-06,1.8421742423179475e-05,1.5719559055261536e-05,2.1100248385628225e-05,1.7778358246323765e-05,2.7856265722383064e-05,3.845487112403098e-05,4.909985371147383e-05,6.599503652818732e-05
