,errobars,ksz_curve,rsep
0,0.05881756509286936,-0.0851374917552476,5.0
1,0.04407520379977503,0.009363803161859184,15.0
2,0.036450160668527846,-0.05189183898375426,25.0
3,0.030325989540893307,-0.060470545644484515,35.0
4,0.025022756738483323,-0.07179747559779934,45.0
5,0.021373526039647366,-0.06682736264751565,55.0
6,0.019106048869357132,-0.061735078231963655,65.0
7,0.016861916201459708,-0.06759875945658685,75.0
8,0.01528426674729894,-0.04975773004712057,85.0
9,0.01377668625163224,-0.03320781064496044,95.0
10,0.013294250592218854,-0.0373709246361174,105.0
11,0.011710622007147578,-0.028963844611675768,115.0
12,0.010852724896275902,-0.028687493029867096,125.0
13,0.010126631034982216,-0.02662435503255941,135.0
14,0.009933098512080392,-0.021098151596377228,145.0
15,0.006171242003812098,-0.016644132516179317,175.0
16,0.005657327528429774,-0.0009943433547400322,225.0
17,0.005083613941266427,0.008930480908912493,282.5
18,0.00525029632673379,0.006063236655367985,355.0
