,0 - 10,10 - 20,20 - 30,30 - 40,40 - 50,50 - 60,60 - 70,70 - 80,80 - 90,90 - 100,100 - 110,110 - 120,120 - 130,130 - 140,140 - 150,150 - 200,200 - 250,250 - 315,315 - 395
0 - 10,0.0034629689323863117,0.0004405233689514085,0.00013970467045132883,4.925728425247128e-05,2.9733553291242004e-05,3.327636166337608e-05,1.3343283121899842e-05,3.478652437324639e-05,-1.1489315064224044e-06,3.553017104824302e-05,1.8045631184530085e-05,1.312738474668024e-05,-3.0061050863481642e-05,-3.278532133240748e-05,1.1212808422269047e-05,5.538025078527136e-06,1.0791738429268557e-05,1.2467963293242293e-05,1.0147463544815977e-05
10 - 20,0.0004405233689514085,0.0019445681581498526,0.00044246963137220877,0.00015447578880389078,3.9181733153812145e-05,6.429635941541852e-05,5.0458255866888356e-05,2.1034131048516476e-05,1.9451260261584576e-05,3.2296980676056383e-05,1.807514232103965e-05,-1.3807774036967146e-05,2.4276225578228796e-06,-1.0613902358573184e-06,1.5977657084613923e-05,-8.16759422406595e-07,-6.141348977798138e-06,-7.3063066107817046e-06,-1.066588232952601e-05
20 - 30,0.00013970467045132883,0.00044246963137220877,0.0013299441569184147,0.00039542876773590845,0.0001761225167853984,0.00010881739086570071,7.793716936564985e-05,6.6688449264196e-05,3.8336272651906064e-05,2.0795385011481687e-05,1.5783789447207124e-05,1.093932054813948e-06,7.003772425603813e-06,1.103664978606443e-06,9.190466340384879e-06,9.487348589292407e-06,-4.833056536649839e-06,-3.936260016621938e-08,-7.36488225345543e-06
30 - 40,4.925728425247128e-05,0.00015447578880389078,0.00039542876773590845,0.0009205862278622316,0.0003067963021907476,0.00015643081987488583,5.3850027459531286e-05,5.464309998263765e-05,3.704618280779391e-05,3.368501247236593e-05,2.9790102167060003e-05,2.363226192559643e-05,1.901810064662624e-05,9.745363454500809e-06,3.6940799431598445e-06,8.081969235955165e-06,7.08578756566382e-07,7.079245124833694e-06,2.8277874592831e-06
40 - 50,2.9733553291242004e-05,3.9181733153812145e-05,0.0001761225167853984,0.0003067963021907476,0.0006267651199132245,0.00022518625151181045,0.00011147986494648589,9.484126469271341e-05,4.6557559191359966e-05,4.0834495977774424e-05,2.4332866251683557e-05,1.0735939407477386e-05,1.394548120792295e-05,1.1245823648420295e-05,2.149646085255027e-07,7.922286953793072e-06,2.3057576932294284e-06,4.93827803195859e-06,2.1738785210561066e-06
50 - 60,3.327636166337608e-05,6.429635941541852e-05,0.00010881739086570071,0.00015643081987488583,0.00022518625151181045,0.00045728490026775175,0.0001792420470920679,0.00012043464255969807,7.907053768164369e-05,4.570776909551506e-05,2.9926990712685037e-05,2.0418300698712447e-05,1.6316631947736522e-05,1.3400916249316477e-05,1.1504232917183638e-05,7.707130189359748e-06,5.478750818770777e-06,9.54682619658656e-08,4.689402188950259e-07
60 - 70,1.3343283121899842e-05,5.0458255866888356e-05,7.793716936564985e-05,5.3850027459531286e-05,0.00011147986494648589,0.0001792420470920679,0.00036540650990817165,0.00017550808876620343,9.703042289665626e-05,6.029304996015468e-05,4.467311130493571e-05,3.0367456902488374e-05,2.5634976755087564e-05,2.1386917337041833e-05,1.5997118621260817e-05,4.670495640551534e-06,2.5336906534901033e-06,1.4845832677095226e-06,1.974660628114328e-06
70 - 80,3.478652437324639e-05,2.1034131048516476e-05,6.6688449264196e-05,5.464309998263765e-05,9.484126469271341e-05,0.00012043464255969807,0.00017550808876620343,0.0002846088268118606,0.00012959003438180368,8.472597695614608e-05,5.431100070274654e-05,3.834307044932929e-05,3.199875498002548e-05,2.0686426094239558e-05,1.8739955032034634e-05,9.914487984279389e-06,7.405810394052842e-06,5.151791997251571e-06,3.037799463449619e-06
80 - 90,-1.1489315064224044e-06,1.9451260261584576e-05,3.8336272651906064e-05,3.704618280779391e-05,4.6557559191359966e-05,7.907053768164369e-05,9.703042289665626e-05,0.00012959003438180368,0.00023384265265524346,0.00010400080381440614,7.293454872068212e-05,4.3520202846808994e-05,3.2077802562238744e-05,2.3325514813779993e-05,2.3863241719187287e-05,7.599341911264687e-06,6.520572661473775e-06,4.775373742678399e-06,3.874330565100535e-06
90 - 100,3.553017104824302e-05,3.2296980676056383e-05,2.0795385011481687e-05,3.368501247236593e-05,4.0834495977774424e-05,4.570776909551506e-05,6.029304996015468e-05,8.472597695614608e-05,0.00010400080381440614,0.00018998707114706005,9.813690424668951e-05,5.815718338713194e-05,4.1604011580211376e-05,2.3355996963341623e-05,2.4879248964614038e-05,9.010540403305077e-06,4.394916058171807e-06,1.6347976098892047e-06,1.7742238388463676e-06
