,errobars,ksz_curve,rsep
0,0.03662763955979136,-0.05505390226872535,5.0
1,0.030617247895292,-0.04986671279390224,15.0
2,0.025281816504284963,-0.06348311974631107,25.0
3,0.02007540622288088,-0.06118796430827274,35.0
4,0.016216413121438428,-0.06969672088669711,45.0
5,0.015161571610249579,-0.05441295213903975,55.0
6,0.013756085300811923,-0.04948699574794958,65.0
7,0.012034428271357598,-0.04438325743194577,75.0
8,0.010796408964199773,-0.03556075951388552,85.0
9,0.009840355009751287,-0.03264384579683154,95.0
10,0.009398106113104258,-0.026858597766531805,105.0
11,0.008346826574348341,-0.024597921879920593,115.0
12,0.0077167038229470275,-0.018014019114112316,125.0
13,0.006935104397924106,-0.01712072442696264,135.0
14,0.0068218933106804205,-0.018492828052654675,145.0
15,0.00494150182115523,-0.009712452685421223,175.0
16,0.004484516953836522,-0.0009041651573067576,225.0
17,0.004217562979738063,0.005545529192735981,282.5
18,0.004288480727853838,0.005496561785783462,355.0
