,0 - 10,10 - 20,20 - 30,30 - 40,40 - 50,50 - 60,60 - 70,70 - 80,80 - 90,90 - 100,100 - 110,110 - 120,120 - 130,130 - 140,140 - 150,150 - 200,200 - 250,250 - 315,315 - 395
0 - 10,0.0013438236858651013,0.00018849489133809444,2.5726337719789455e-05,2.8596429687806442e-05,4.163037795994289e-06,8.675494620190452e-06,-7.083992207151055e-06,-1.3485755595339932e-05,5.4855303558552275e-06,8.906546530115568e-06,-1.3725305534960072e-06,2.2022581530401585e-06,1.271430594016856e-05,5.959085823100838e-06,-1.524068773532785e-06,2.9374121233671643e-06,5.766325608424271e-06,1.6441991006565747e-05,1.620178735843143e-05
10 - 20,0.00018849489133809444,0.0009389808367430008,0.00028890881086420704,0.00011840711218780707,5.827302950476883e-05,6.971641711950015e-05,3.150626612250796e-05,3.281575390760505e-05,1.2756456690230988e-05,3.1072120878057934e-06,5.731284718764977e-07,8.414831357109285e-06,3.8054914762984303e-06,7.712834970152779e-06,8.555728749150338e-07,2.1942017539860874e-06,1.4233146266343308e-06,8.976690553550042e-06,-9.734533690608051e-07
20 - 30,2.5726337719789455e-05,0.00028890881086420704,0.0006402373079362292,0.00023125360247786244,8.741042350816244e-05,6.0095752939537195e-05,3.402288844790773e-05,3.111412463704507e-05,3.9216099376428334e-06,5.006885505363382e-06,-2.091897100335018e-06,-6.267929205264219e-06,-1.9455933538759036e-06,1.1782986820844882e-06,1.0429730704645084e-05,1.1469206460758325e-05,4.612593596066812e-06,5.353538573008428e-06,-2.7441595404237864e-06
30 - 40,2.8596429687806442e-05,0.00011840711218780707,0.00023125360247786244,0.00040369475961303904,0.00014553088778975035,9.41099686474209e-05,4.544501686888065e-05,4.6869062028661045e-05,1.9027604674898574e-05,1.3600002149676164e-05,8.821071184347344e-06,2.3024202393325015e-06,9.11355338870145e-06,6.933503134267101e-06,1.0304280864805029e-06,7.422801159982659e-06,6.2975650368382326e-06,6.076186186234294e-06,2.1359577615558395e-06
40 - 50,4.163037795994289e-06,5.827302950476883e-05,8.741042350816244e-05,0.00014553088778975035,0.0002634110729801271,0.00011648667196721997,7.005626736337597e-05,5.6601086397772504e-05,2.9970171867299576e-05,2.0110358322684464e-05,1.7602742579417853e-05,4.00475366078018e-06,-1.2292889802052004e-06,4.221470270523326e-06,2.623256792506553e-07,3.2662972608062722e-06,4.667790873302593e-06,2.475868049341821e-06,3.1325160193503606e-06
50 - 60,8.675494620190452e-06,6.971641711950015e-05,6.0095752939537195e-05,9.41099686474209e-05,0.00011648667196721997,0.00023025701538503454,0.00011322321615905677,6.449627424710688e-05,4.1438580551756806e-05,1.8144353952556966e-05,1.6741018190290438e-05,1.017775364626692e-05,6.6768337722189295e-06,7.9633176385411e-06,3.715812380526341e-06,5.202373311664469e-06,6.788319609428566e-06,4.369923613511484e-06,3.883157429739734e-06
60 - 70,-7.083992207151055e-06,3.150626612250796e-05,3.402288844790773e-05,4.544501686888065e-05,7.005626736337597e-05,0.00011322321615905677,0.0001895457924573094,9.395737659672755e-05,5.305642947250037e-05,3.3333213641792775e-05,1.7167164435494623e-05,1.6848771143642173e-05,8.650721457752352e-06,2.6436979160020086e-06,6.078367909302654e-07,2.0348799427764934e-06,5.379702472915552e-06,1.556443864325726e-06,4.838387938686618e-07
70 - 80,-1.3485755595339932e-05,3.281575390760505e-05,3.111412463704507e-05,4.6869062028661045e-05,5.6601086397772504e-05,6.449627424710688e-05,9.395737659672755e-05,0.00014506924589494273,7.22524810085524e-05,4.7992945366043034e-05,3.198328035810186e-05,1.9420749501838357e-05,1.2870936991899177e-05,8.116534319126967e-06,4.9072896893934025e-06,4.198463980135288e-06,5.610375532130235e-06,2.6878862012735843e-07,2.2120013268640248e-08
80 - 90,5.4855303558552275e-06,1.2756456690230988e-05,3.9216099376428334e-06,1.9027604674898574e-05,2.9970171867299576e-05,4.1438580551756806e-05,5.305642947250037e-05,7.22524810085524e-05,0.00011675704159157241,6.151512404895168e-05,3.8545920888077624e-05,2.036862009484522e-05,1.3071249696273168e-05,1.0347280722267407e-05,7.233813732082109e-06,1.0026631474372396e-05,8.251325055580008e-06,4.121048043978724e-06,5.289798307399138e-06
90 - 100,8.906546530115568e-06,3.1072120878057934e-06,5.006885505363382e-06,1.3600002149676164e-05,2.0110358322684464e-05,1.8144353952556966e-05,3.3333213641792775e-05,4.7992945366043034e-05,6.151512404895168e-05,9.699424379092203e-05,5.341351804158021e-05,3.342983500452892e-05,2.1127773157014874e-05,1.738586742799821e-05,1.1781538957394965e-05,7.858587063381182e-06,5.288724696528597e-06,1.237017106516196e-06,2.7607723856365575e-06
100 - 110,-1.3725305534960072e-06,5.731284718764977e-07,-2.091897100335018e-06,8.821071184347344e-06,1.7602742579417853e-05,1.6741018190290438e-05,1.7167164435494623e-05,3.198328035810186e-05,3.8545920888077624e-05,5.341351804158021e-05,8.84718515991662e-05,4.875858196377129e-05,3.008825860347676e-05,2.1673402530125125e-05,1.1517394387356733e-05,8.510014355109656e-06,5.870368961726527e-06,2.1546543562400554e-06,2.7589207508088246e-06
110 - 120,2.2022581530401585e-06,8.414831357109285e-06,-6.267929205264219e-06,2.3024202393325015e-06,4.00475366078018e-06,1.017775364626692e-05,1.6848771143642173e-05,1.9420749501838357e-05,2.036862009484522e-05,3.342983500452892e-05,4.875858196377129e-05,6.978582356819462e-05,3.820143487935499e-05,2.2917201821019604e-05,1.332408796410966e-05,8.382924544418787e-06,3.7910518379150794e-06,1.7312674670131208e-06,6.94064415608979e-07
