,0 - 10,10 - 20,20 - 30,30 - 40,40 - 50,50 - 60,60 - 70,70 - 80,80 - 90,90 - 100,100 - 110,110 - 120,120 - 130,130 - 140,140 - 150,150 - 200,200 - 250,250 - 315,315 - 395
0 - 10,1.0,0.09408536846878647,0.05501971918444276,0.08353595585887687,0.031170635597202918,0.04540596467086761,0.024008186285590358,0.05940157682257442,0.01952356984871884,-0.005882481600046986,0.028764630676871374,0.02960761130948699,0.03776313501174217,0.04244493801646459,0.006689802964785485,0.006792822176019514,-0.019853663128229438,0.0017439714547376165,0.004605230195544577
10 - 20,0.09408536846878647,1.0,0.1814254898229506,0.10239917911350084,0.06560932431813324,0.02644832993473306,0.02743063774320665,0.05967210605254181,0.030977707034401003,0.018813485466993927,0.007697872909941991,-0.002449340272506768,-0.030288399553098977,-0.030088175687600135,0.006826169662302004,0.0005749101356881187,0.014247598855440658,0.003872125180224379,0.03294718513207403
20 - 30,0.05501971918444276,0.1814254898229506,1.0,0.3210352109487522,0.14099318438962466,0.10051773439774297,0.09038994400364168,0.01821453188781625,0.044945475558405494,0.026397028355984786,0.004580542065351395,0.0057792690870088455,-0.005299912428026249,0.048884682474388624,0.03903018543202601,0.02039436110107166,0.02787949910464669,-0.029350791718476495,0.004061238209457411
30 - 40,0.08353595585887687,0.10239917911350084,0.3210352109487522,1.0,0.2971249619955754,0.22330258881350606,0.13911741728682642,0.11391878364385649,0.08291786363750984,0.0778307765739081,0.009641602846106637,0.03483590532569435,0.044207809099291256,0.014912037298853693,-0.00961704314460715,0.023084714576053957,-0.021876173248645825,0.005051595645664092,0.007886575425243602
40 - 50,0.031170635597202918,0.06560932431813324,0.14099318438962466,0.2971249619955754,1.0,0.38395412583703453,0.21287829102537775,0.15140597644395734,0.0891659196182617,0.04155861805363907,0.007352000680169189,0.03317399865413065,0.03858225019634953,0.009311598054349134,-0.02543349709737885,0.011363730377848788,0.0044917069218436126,-0.008264167705379131,0.005130889386737868
50 - 60,0.04540596467086761,0.02644832993473306,0.10051773439774297,0.22330258881350606,0.38395412583703453,1.0,0.44153576805040085,0.31971420781213045,0.23988496503076803,0.09230934845928819,0.1015926557508591,0.05544356196173105,0.03269390091743615,0.09452432166830096,0.05566818133274817,0.07601737418745363,0.039614427357279734,0.044390059351144415,0.06313794860220023
60 - 70,0.024008186285590358,0.02743063774320665,0.09038994400364168,0.13911741728682642,0.21287829102537775,0.44153576805040085,1.0,0.469761177424301,0.32488144514440165,0.19413780003202752,0.17174717851181476,0.10912142457760961,0.06386637484946658,0.06969395105291468,0.05156073352245203,0.06678726430175712,0.030154324122464295,0.01459380301136162,0.022307221802428494
70 - 80,0.05940157682257442,0.05967210605254181,0.01821453188781625,0.11391878364385649,0.15140597644395734,0.31971420781213045,0.469761177424301,1.0,0.4352723198151847,0.24957684719015005,0.24365605343073593,0.17450520316679152,0.13391968775184074,0.10974824035831578,0.10096106409891863,0.09381705466695357,0.07391394144393125,0.0593841774287542,0.028431205662832307
80 - 90,0.01952356984871884,0.030977707034401003,0.044945475558405494,0.08291786363750984,0.0891659196182617,0.23988496503076803,0.32488144514440165,0.4352723198151847,1.0,0.43459783177408096,0.28654116123327467,0.20572827417752193,0.1314450808062696,0.08479195910060458,0.056930070401526665,0.09651215411075395,0.0571816356829391,0.05337366741327144,0.04974212707207102
90 - 100,-0.005882481600046986,0.018813485466993927,0.026397028355984786,0.0778307765739081,0.04155861805363907,0.09230934845928819,0.19413780003202752,0.24957684719015005,0.43459783177408096,1.0,0.4557715920370935,0.3124301200920503,0.21665982380403084,0.1825704039382111,0.11669019281188106,0.09682282641015028,0.04206132167564249,0.08003667095272142,0.039963291154577814
100 - 110,0.028764630676871374,0.007697872909941991,0.004580542065351395,0.009641602846106637,0.007352000680169189,0.1015926557508591,0.17174717851181476,0.24365605343073593,0.28654116123327467,0.4557715920370935,1.0,0.4693172943787597,0.3407381423265552,0.2661909155446956,0.17025189444880334,0.1627300924977755,0.09356640630153516,0.09619246459299317,0.0569501674374568
110 - 120,0.02960761130948699,-0.002449340272506768,0.0057792690870088455,0.03483590532569435,0.03317399865413065,0.05544356196173105,0.10912142457760961,0.17450520316679152,0.20572827417752193,0.3124301200920503,0.4693172943787597,1.0,0.4879494404505552,0.3522945725941316,0.24760342207860006,0.24998493435640273,0.17689240224109026,0.18325268383843424,0.15309396467530048
120 - 130,0.03776313501174217,-0.030288399553098977,-0.005299912428026249,0.044207809099291256,0.03858225019634953,0.03269390091743615,0.06386637484946658,0.13391968775184074,0.1314450808062696,0.21665982380403084,0.3407381423265552,0.4879494404505552,1.0,0.4837172533436071,0.33420462354059044,0.27132257460066006,0.16131098939509414,0.1834192899833923,0.1352977823693717
130 - 140,0.04244493801646459,-0.030088175687600135,0.048884682474388624,0.014912037298853693,0.009311598054349134,0.09452432166830096,0.06969395105291468,0.10974824035831578,0.08479195910060458,0.1825704039382111,0.2661909155446956,0.3522945725941316,0.4837172533436071,1.0,0.5042037043697665,0.37095572700031715,0.22004361502304975,0.22513136968593914,0.19573485373285798
140 - 150,0.006689802964785485,0.006826169662302004,0.03903018543202601,-0.00961704314460715,-0.02543349709737885,0.05566818133274817,0.05156073352245203,0.10096106409891863,0.056930070401526665,0.11669019281188106,0.17025189444880334,0.24760342207860006,0.33420462354059044,0.5042037043697665,1.0,0.44513206845949316,0.22495696009803776,0.19777739556953802,0.1747700076221144
150 - 200,0.006792822176019514,0.0005749101356881187,0.02039436110107166,0.023084714576053957,0.011363730377848788,0.07601737418745363,0.06678726430175712,0.09381705466695357,0.09651215411075395,0.09682282641015028,0.1627300924977755,0.24998493435640273,0.27132257460066006,0.37095572700031715,0.44513206845949316,1.0,0.5853878055059092,0.4278500055259971,0.4031922277235581
200 - 250,-0.019853663128229438,0.014247598855440658,0.02787949910464669,-0.021876173248645825,0.0044917069218436126,0.039614427357279734,0.030154324122464295,0.07391394144393125,0.0571816356829391,0.04206132167564249,0.09356640630153516,0.17689240224109026,0.16131098939509414,0.22004361502304975,0.22495696009803776,0.5853878055059092,1.0,0.6678445205204518,0.5820202413948409
250 - 315,0.0017439714547376165,0.003872125180224379,-0.029350791718476495,0.005051595645664092,-0.008264167705379131,0.044390059351144415,0.01459380301136162,0.0593841774287542,0.05337366741327144,0.08003667095272142,0.09619246459299317,0.18325268383843424,0.1834192899833923,0.22513136968593914,0.19777739556953802,0.4278500055259971,0.6678445205204518,1.0,0.7506627459498942
315 - 395,0.004605230195544577,0.03294718513207403,0.004061238209457411,0.007886575425243602,0.005130889386737868,0.06313794860220023,0.022307221802428494,0.028431205662832307,0.04974212707207102,0.039963291154577814,0.0569501674374568,0.15309396467530048,0.1352977823693717,0.19573485373285798,0.1747700076221144,0.4031922277235581,0.5820202413948409,0.7506627459498942,1.0
